;Оригинал;Перевод на казахский;Перевод на русский
279;Мяяя жүрміз мұнда кәрістерге қазақская мама болып😂 Ұрысқандарымды күшті түсінеді әсіресе! Один взглядпен отырғызасын,тұрғызасын. Но кішкентайым әкесіне ұқсап кеткенба дым взгляд пызглядыңа қарамайды,үлкенім өзім сияқты қазақша);Маа, жүрміз мұнда кәрістерге қазақ анасы болып. Ұрысқандарымды күшті түсінеді әсіресе! Бір көзқараспен отырғызасын, тұрғызасын. Бірақ кішкентайым әкесіне ұқсап кеткен ба дым көзқарасына қарамайды, үлкенім өзім сияқты қазақша.;Маа, мы здесь для того, чтобы быть казахской мамой для корейцев. Он прекрасно понимает мои ругани! Сядет и встанет одним взглядом. А вот мой маленький стал похож на отца, не смотрит на твой взгляд, старший у меня казах, как и я.
280;Точно өзімді көрдім👏маа жаман мама екенмін сыртынан қарасаң аяп кеттімго;Дәл өзімді көрдім, маа, жаман ана екенмін сыртынан қарасаң, аяп кеттім ғой.;Я видела себя, маа, я плохая мать, если посмотреть на это со стороны, мне себя жаль.
281;Әкесінен аумай қалған деп 🤣🤣 сондай клиенттер бар ғой обида алған жүректеріне, классика жанра гой, өздері таңдап үйлеген күйеін баласымен қоса жамандау. И смех и грех;Әкесінен аумай қалған деп сондай клиенттер бар ғой реніш алған жүректеріне, жанр классикасы ғой, өздері таңдап үйленген күйеін баласымен қоса жамандау. Және күлкі мен күнә.;Есть клиенты, которые говорят, что похожи на своего отца, расстроены сердцем, это классика жанра, они клевещут на своих мужей и детей. И смех и грех.
282;Мен ғой, мен😂😂😂 выбор жоқ қызда. Барады болды;Мен ғой, мен, таңдау жоқ қызда. Барады болды.;Это я, я, у девушки нет выбора. Она пойдет и все.
283;Казахская мама еще умеет: ай аттанын басы! Я тебе говорила шапку одень!? Ойламайсын вообще! ;Қазақ анасының және де қолынан келеді: ай, атаңның басы! Мен саған малақайды ки деп айттым!? Ойламайсың тіпті! ;Казахская мама еще умеет: ай, черта с два! Я тебе говорила шапку одень!? Ты вообще не думаешь!
284;еще результат болабго сол түкіргернен;Және де нәтиже болады ғой сол түкіргеннен.;И от этого плевания будет результат.
285;Оны уже сұрадым, квартира банкте залогта,  төлеп бітпей болмайды деді;Оны қазірдің өзінде сұрадым, пәтер банкте кепілде тұр,  төлеп бітпей болмайды деді.;Я у него уже спрашивала, он сказал, что квартира заложена в банке, и без оплаты ее  невозможно.
286;Просто бар ғой вечный осындай әр статусыма комментарийден шаршап кетем ғой;Жай бар ғой, әрқашан осындай әр күйіме пікірден шаршап кетемін ғой.;Просто, я устала от комментариев по поводу моего статуса.
287;Солай өмір сүрген дұрыс па, менің уже ажырасатын мың причинам болды;Солай өмір сүрген дұрыс па, менің қазірдің өзінде ажырасатын мың себебім болды.;Хорошо ли так жить, у меня уже была тысяча причин развестись.
288;ол жерде все таки бала шагасын акшага окытканнан кеийн, арбир копейканын кадирин билетин ата аналар;Ол жерде қалай болғанда да бала-шағасын ақшаға оқытканнан кейін, әрбір тиынның қадірін білетін ата-аналар.;Родители, которые знают цену каждой копейке, после того, как обучали там своих детей за деньги.
289;осыган дейинги частный мектепте аз жинадык кой;Осыған дейінгі жеке мектепте аз жинадық қой.;В предыдущей частной школе мы собирали не так много.
290;Балаларға керек заттың сатып алудан бас тартпаймын, бірақ әр нәрсеге  чатқа чекпен отчет жиберсин.;Балаларға керек заттың сатып алудан бас тартпаймын, бірақ әр нәрсеге  чатқа чекпен есеп жіберсін.;Я не откажусь купить детям вещи, но пусть за все пришлет в чат отчет с чеком.
291;Дурыс айтасыз казир 5000тг дым келмеиды Бир жылга тем более жетпейды;Дұрыс айтасыз, қазір 5000 теңгеге дым келмейді. Бір жылға тіптен жетпейді.;Вы правы, сейчас 5000 тенге ничего не стоит. Не хватает даже на год.
292;"Қайта қайта жинағанша бір жолыда жинап қойсақ жақсы болар еді ! 
Себебі сабақ басталғанда аптечка аламыз т.б ! ";Қайта-қайта жинағанша бір жолыда жинап қойсақ жақсы болар еді! Себебі сабақ басталғанда алғашқы көмек жинағын аламыз, т.б! ;Было бы лучше, если бы мы собрали его за один раз, прежде чем собирать снова! Потому что когда начинается занятие, мы получаем аптечку и т. д.!
293;Кафедрада [Имя] апайдың күйеуі өзі мебель жасайды. Соны күтіп отырмын;Кафедрада [Есімі] апайдың күйеуі өзі жиһаз жасайды. Соны күтіп отырмын.;Муж тети [Имя] делает в кафедре мебель. Я жду его.
294;Жасап тастадың ба, негізі ответственность бәрібір сильно перебороть;Жасап тастадың ба, негізі жауапкершілікті бәрібір қиын жеңу.;Ты все сделал, основную ответственность все равно сильно перебороть.
295;Иә, ішіңнен өзі сезіп тұрасың ғой, когда трансформация происходит, чего я хочу деп;Иә, ішіңнен өзі сезіп тұрасың ғой, қашан трансформация болып жатырғанын, мен нені қалаймын деп.;Да, ты чувствуешь это изнутри, когда происходит трансформация, чего я хочу.
296;Иә, бірақ сенде күшті лидерский качестволар бар ғой просто, соны жалко ма деп ойлаймын;Иә, бірақ сенде күшті көшбасшылық қасиеттер бар ғой жай ғана, соны аянышты ма деп ойлаймын.;Да, но у тебя сильные лидерские качества, мне кажется, это жалко.
297;Үйде отырып үйреніп алдым, жұмысқа шыққым келмейді что то;Үйде отырып үйреніп алдым, жұмысқа шыққым келмейді бірақ-та.;Дома я привыкла, не хочу выходить на работу что то.
298;Қатты ойланып жүрмін, сағат алсам ба, жоқ па деп. Полный өз өзіме жұмыс істегенге өтіп кетсем бе;Қатты ойланып жүрмін, сағат алсам ба, жоқ па деп. Толық өз-өзіме жұмыс істегенге өтіп кетсем бе?;Я долго думаю, брать часы или нет. Стоит ли мне переходить на полноценную самозанятость?
299;Одан кейін спокойно реагировать ететін болдым;Одан кейін тыныш жауап ететін болдым.;После этого я стала реагировать спокойно.
300;Мектепке апармасын воопще телефонды, жас мұғалімдерді адам құрлы көрмей телефон қарап суретке түсіп отырады жоғары сыныптың балалары;Мектепке апармасын тіпті телефонды. Жас мұғалімдерді адам құрлы көрмей, телефон қарап, суретке түсіп отырады жоғары сыныптың балалары.;Пусть ваще не берет телефон в школу. Старшеклассники смотрят в телефоны и фотографируются, даже за человека не считают молодых учителей.
301;Давно пара уже, сабақ мүлде оқымайды, апармаса да болады гой мүлде;Баяғыда уақыт келді, сабақ мүлде оқымайды, апармаса да болады ғой мүлде.;Давно пора уже, он вообще не учится, а то и вообще можно не брать.
302;Қарызға ақша сұрап алып, кешкісін статусын қарасаң пиво ішіп калян шегіп отыратындар барғой... Өзін ғана емес өзгені де күнәға батырып. Мұқтаждық ондай болмайды ағайындар, бір қаңғыру үшін, досыңның туылған күніне бару үшін, немесе айфон алу үшін қарыз сұрамаңыздар, өзіңлежоқ болса;Қарызға ақша сұрап алып, кешкісін желідегі күйін қарасаң, сыра ішіп, кальян шегіп отыратындар бар ғой. Өзін ғана емес, өзгені де күнәға батырып. Мұқтаждық ондай болмайды, ағайындар, бір қаңғыру үшін, досыңның туылған күніне бару үшін, немесе айфон алу үшін қарыз ақша сұрамаңыздар, өзіңде жоқ болса.;Есть же люди, которые попросят денег в долг, а вечером видишь их статус, они пьют пиво, курят кальян. Не только сами грешат, но и других  вводят в грех. Нужда так не выглядит, люди, не нужно просить в долг, чтобы повеселиться, сходить к другу на день рождения, или купить айфон, если для этого нет денег.
303;Егер өлердегі сөзін айтып кредитке ақша алдырып,қадап кетсе ше? Жақын туысың, жұмыс істемей,декретте отқанымды біледі, еще жылап алды,алғаннан соң жоқ,7 ай бір тиын бермеді,сұрасаң,өзіңе қарай атылып,өзің қарыз ұқсап жүресің,уже пенясы 2 есе шықты,ондай кезде не істеу керек имам мырза? Счеттің бәрін арестке тықты,іс сотқа өткелі қашан? ;Егер өлердегі сөзін айтып,  несиеге  ақша алдырып, алдап  кетсе ше? Жақын туысың, жұмыс істемей, бала күтіміндегі демалыста  отырғанымды біледі, және жылап алды, алғаннан соң жоқ, 7 ай бір тиын бермеді сұрасаң, өзіңе қарай атылып, өзің қарыз алған ұқсап жүресің, айыппұлы 2 есе шықты, ондай кезде не істеу керек, имам мырза? Шоттың бәрін бүғаттады, іс сотқа өткелі қашан. ;А что, если он, умоляя, как при смерти, уговоривает взять деньги в кредит, и исчезает? Близкий родственник, знает, что не работаешь, сидишь дома в деретном отпуске, плача, уговорил взять, и после этого исчез, за 7 месяцев не дал ни копейки, спросишь, злится, как будто ты сама взяла в долг у него, пеня выросла в 2 раза, что нужно делать в таких случаях, господин имам? Счета все арестованы, дело давно ушло в суд.   
304;Отирик афтпаш постаянно осыны шыгарасындар ком жинау ушин казактарды алдап;Өтірік айтпашы, үнемі осыны шыгарасыңдар, пікір жинау ушін қазақтарды алдап;Не ври, постоянно это выставляете, чтобы собрать комментарии, обманывая казахов.
305;Урааа ал менде вообще кредит жок Аллага шукир!!! Сиздердеде солай болсын;Алақай, ал менде мүлдем несие жок. Аллага шукір!!! Сіздерде де солай болсын.;Ура, а у меня вообще нет кредита. Слава Аллаху! Чтобы и у вас также было.
306;Мен де кредит жок,даже ред карта жауып тастаганмын,уйренеди екенсин наличка алып.;Мен де несие жок, тіпті ред картаны жауып тастағанмын, үйренеді екенсің қолма-қол ақшаға.;У меня тоже нет кредита, даже ред карту закрыла, оказывается, привыкаешь к наличным деньгам.
307;Қазақстанда тик токты блокировать ету керек;Қазақстанда тик-токты бұғаттау  керек.;Надо заблокировать тик-ток в Казахстане.
308;Последняя музыка менің  подругамның ең сүйікті әні;Соңғы ән менің құрбымның ең сүйікті әні.;Последняя музыка - это самая любимая песня моей подруги.
309;Тек поручение береді жыл сайын , результатка жауап жоқ. Очередное бла бла для меня;Тек тапсырма береді жыл сайын, нәтижесіне жауап бермейді. Кезекті дәм болсын әңгіме мен үшін. ;Только поручение дает каждый год, за результат не отвечает. Очередное бла-бла-бла  для  меня. 
310;Кулакка лапша ылып болды гой;Өтірік айтып болды ғой;Навешал лапши на уши.
311;Кара жумысшылардын зарплатын котеру керек гой.Кеми 300 мын кылып;Кара жұмысшылардың жалақысын көтеру керек ғой.Кемінде 300 мын қылып;Надо поднять зарплату чернорабочим. Сделать не меньше 300 тысяч.
312;15000 айлык котерилгенимен 10 есе продукты кымбаттайды;15000-ға айлык көтерілгенімен 10 есеге азық-түлік қымбаттайды.;Если зарплата поднимется на 15000, продуты подорожают в 10 раз.
313;85мың неге келеді. Налогтың бағасының көтеруге бұлардікі;85 мың неге келеді? Салықтың бағасын көтеруге бұлардікі.;На что хватит 85000? Им бы лишь поднять сумму налога.
314;Неге 1 ші сентябрьден 2023 ж. Одан да қымбаттатпау керек, алдын ала айтып жатыр 2024 ж.қымбаттайд деп…;Неге 1-ші қыркүйек 2023 ж.? Одан да қымбаттатпау керек, алдын ала айтып жатыр 2024 ж. қымбаттайды деп.;Почему с 1 сентября 2023 г.? Уже сейчас надо, чтобы не было подорожания. Заранее говорят, что в 2024 году все подорожает.
315;Біз коллегамызбен поспорили қыз или ұл деп, мен қыз дедім,;Біз жұмыстасымызбен бәстестік, қыз немесе ұл деп, мен қыз дедім.;Мы с коллегой поспорили, мальчик или девочка.  Я сказала, будет девочка.
316;Сөздің шыны екеуі пара болып тұр. [Имя] үлкен қызға ұқсап тұрғаны жоқ;Сөздің шыны, екеуі жұп болып тұр. [Есімі] үлкен қызға ұқсап тұрған жоқ;Честно говоря, оба выглядят как пара. [Имя] не похожа на взрослую девушку.
317;Лук страницасын айтып жыверетындер болса осы жерде;Лук парақшасын айтып жіберетіндер болса осы жерде.;Есть тут кто подскажет страничку лука.
318;Стиль как всегда бәрінен ерекше;Стиль  әрдайым бәрінен ерекше.;Стиль как всегда отличается от других. 
319;Моя красавица! Бәріненде сен сұлу сен сұлу ❤️❤️❤️❤️ люблю ;Менің сұлуым! Бәрінен де сен сұлу, сен сұлу, жақсы көремін.;Моя красавица! Ты самая красивая, ты красивая, люблю. 
320;[Имя] қыз - красавица, ақылды ару! Дені сау , бақытты болсын! Алла бақ берсін! Әйел бақытын тілеймін!;[Есімі] қыз - сұлу, ақылды ару! Дені сау, бақытты болсын! Алла бақ берсін! Әйел бақытын тілеймін!;[Имя] девушки - красавица, умница! Пусть будет здоровой и счасливой! Пусть Бог благословит! Желаю женского счастья. 
321;91 дің өлеңдерінің сөздерін цитировать еткеніңіз қандай күшті;91-дің өлеңдерінің сөздерін келтіріп еткеніңіз қандай күшті.;Как хорошо, что вы процитировали слова из песен 91.
322;Мама қайда барасың? - Қонаққа. - Менде сенімен барайыншы?! - Сені ешкім шақырған жоқ... деп нагло кетіп қалам өз басым;Апа, қайда барасың? - Қонаққа. - Менде сенімен барайыншы?! - Сені ешкім шақырған жоқ деп ұялмай кетіп қаламын өз басым.;Мама, куда идешь? - В гости. - Можно мне пойти с тобой?! - Тебя никто не приглашал. Отвечаю нагло и ухожу.
323;Больницаға барамыз укол салдыруға топ;Ауруханаға барамыз дәрі салдыруға, топ;Группа, идем делать укол в больницу.
324;Потом, балам, нешеде келесын? 11, мамам. А сам в 4 утра;Сосын, балам, нешеде келесін? 11, апа. Ал өзі болса таңғы 4-те.;Потом, сынок, во сколько придешь? В 11, мама. А сам в 4 утра.
325;Біз бір жерге барсақ вечно садақаға барамыз деп шығамыз😂.Біреуді өлтіре беруде уят баладан;Біз бір жерге барсақ үнемі садақаға барамыз деп шығамыз. Біреуді өлтіре беру де ұят баладан.;Когда мы куда-нибудь идем, вечно говорим, что идем на похороны. Уже стыдно перед ребенком кого-то убивать.
326;Биз постоянно стоматологка барамыз;Біз үнемі тіс дәрігерге барамыз.;Мы постоянно идем к стоматологу.
327;Мен вечно тісіме дәргерге барам деп кетем , тісім жоқ жерді соны көрсетем;Мен үнемі тісіме дәрігерге барамын деп кетем, тісім жоқ жерді соны көрсетемін.;Я постоянно говорю, что иду к стоматологу, показываю то место, где нет зуба.
328;Бизде бугин бардык кцшти,адеми декорация, жастар молодцы керемет👏👏очень красиво;Біз де бүгін бардық, күшті, әдемі безендіру, жастар жарады, керемет, өте әдемі.;Мы тоже ходили сегодня, красота, красивая декорация, молодежь молодцы, отлично, очень красиво.
329;Наоборот рады❤️ Я с ней училась деп мақтанып айтасын ғой;Керісінше қуаныштымыз. Мен онымен бірге оқыдым деп мақтанып айтасын ғой.;Наоборот, мы счастливы. Будешь гордо говорить, что мы вместе учились.
330;Озине унайтын исти тауып, айналыскан жаксы. Окуды окып, жумыс жасап журмиз. Бирак все таки иште бир сезим бар, меники емес деген;Өзіңе ұнайтын істі тауып, айналысқан жақсы. Оқуды оқып, жұмыс жасап журміз. Бірақ, дегенмен, іште бір сезім бар, менікі емес деген.;Хорошо найти то, что тебе нравится, и заняться этим. Мы учимся и работаем. Однако внутри такое ощущение, что это не мое.
331;Сол кезде обязательно күйінің аяқ киімі киюі керек;Сол кезде міндетті түрде күйеуңнің аяқ киімін киюі керек.;Тогда тебе придется надеть обувь своего мужа.
332;Жанееем 😂 Ози настроение кушти котереди;Жаным, өзі көңіл-күйді күшті көтереді.;Душа моя, хорошо поднимает настроение.
333; [Имя] көп балалы мама деген теманы білмеген ғой просто;[Есімі] көп балалы ана деген тақырыпты білмеген ғой тек.;[Имя] просто не знала о теме многодетной матери.
334;Осы екеуінің рекламасын бесконечно көргін келеді 😂😂😂😂😂 реклама емес шедевр го;Осы екеуінің жарнамасын қайта-қайта көргің келеді. Жарнама емес, жауһар ғой.;Рекламу этих двоих хочется пересматривать снова и снова. Это не реклама, это произведение искусства.
335;Потолок реклама ғой мынау;Керемет жарнама ғой мынау.;Это отличная суперреклама.
336;Кыспай ма?! Точно ма?! Отирик айтып турган жоксын?! Смотрииии ал! Ертен кысады Ден тагы алып журмейм журесин солай;Қыспай ма?! Шынымен бе?! Өтірік айтып тұрган жоқсын ба?! Қара ал! Ертең қысады ден тағы алып журмеймін, журесін солай.;"Не тесно?! Действительно?! Ты не врешь? Смотри! Завтра скажешь ""тесно"", я  больше не куплю, так и будешь ходить в них"
337;Түркия кожа десе😂😂😂 мама сразу 🔥 спичкамен тексереди го жагып;Түркия былғары десе апа бірден сіріңкемен тексереді ғой жағып.;Если говорт, что это турецая кожа, мама сразу зажигает спичку и проверяет.
338;Еще размер больше алып береди, коктемде симай калады деп);Тағы өлшемі үлкендеу қылып алып береді, көктемде сыймай қалады деп.;Опять купят на размер больше, скажут, что весной не влезу.
339;Аяғыңды қыспай ма деп айтамыз ғой точна;Аяғыңды қыспай ма деп айтамыз ғой дәл қылып.;"Мы спросим ""Точно не жмут ноги?"""
340;«Тусписинба?»деген фраза кайда😁или окончательно канша деп турсыз;«Түспейсің бе?» деген сөз қайда немесе соңғы баға канша деп тұрсыз.;"Где слова ""Уступите?"" или спросите ""Окончательно сколько будет?"""
341;маған жазып заказ берсеңіздер болады! доставка бесплатно;Маған жазып тапсырыс берсеңіздер болады! Жеткізу тегін.;Вы можете написать мне и сделать заказ! Доставка бесплатна.
342;Америкадағы актрисалар жолда қалды ғой😍🔥🔥🔥🔥 просто огоооооонь🔥🔥🔥 супер;Америкадағы актрисалар жолда қалды ғой, от қой, от, керемет.;Американских актрис оставили позади! Это огонь: супер!
343;Японский стиль жарасады;Жапондық  стиль жарасады.;Ему идет японский стиль.
344;Біздің ішкен дада коробкаларын жинасан минимум айфон утуга болады. Балларым 3 жылдай алады уже. 2+1 аламыз выгодно;Біздің ішкен дада корапшаларын жинасаң кем дегенде айфон ұтуға болады. Балаларым 3 жылдай алып жүр. 2+1 аламыз, тиімді.;Вы даже можете выиграть айфон, если соберете наши коробки от выпитого дада. Мои дети покупают его уже около 3 лет. Получаем 2+1, это эффективно.
345;Холодильникти котерип кеткенжокпынгой! Ашта дурыстап кара житн нарсе!!!!;Тоңазытқышты көтеріп кеткен жоқпын ғой! Аш та, дұрыстап қара жейтін нәрсені!!!!;Я же не забрал холодильник. Открой и посмотри внимательно, что есть съестного.
346;шетінен бәрімізде осындай нервная система негізі;Шетінен бәрімізде осындай жүйке жүйесі негізі.;На самом деле у всех нас такая нервная система.
347;Құтырмай отырындар үйде. Сол ресторанға кететін ақшаға үш күн жейтін продукты алуға болады дим;Құтырмай отырыңдар үйде. Сол тойханаға кететін ақшаға үш күн жейтін азық-түлік алуға болады деймін.;Не рыпайтесь и сидите дома. На деньги, которые ушли на ресторан,  можно купить продукты на три дня.
348;Сен неге америкалықтарды жоғары санап, өзіміздің қазақтарды обесценивать етіп тұрсың?;Сен неге америкалықтарды жоғары санап, өзіміздің қазақтарды құнсыздандырып етіп тұрсың?;Почему вы превозногсите американцев и обесцениваете наших казахов?
349;"Менің коронный сөзім ""Африкада балалар аш жүр, ал сендер мына тамақты жемейсіңдер"" жан-жағымдағылардың бәріне солай айтам, бала шаға әлі кішкентай, бірақ оларда сол сөзді естиді ау, ол уақытқа дейін Африканы тойдырмаса";"Менің жиі айтатын сөзім ""Африкада балалар аш жүр, ал сендер мына тамақты жемейсіңдер"" жан-жағымдағылардың бәріне солай айтамын, бала-шаға әлі кішкентай, бірақ олар да сол сөзді естиді-ау, ол уақытқа дейін Африканы тойдырмаса.";"Мои коронные слова ""В Африке дети голодные, а вы не едите эту еду"" Я говорю это всем вокруг, дети еще маленькие, но они тоже слышат, если к тому времени Африку не накормят."
350;Виза аштыныздарма? Вроде Кореяга виза оте кыйын еды;Виза аштыңыздар ма? Кореяға виза өте қыйын-ау деймін.;Вы открыли визу? Получить визу в Корею очень сложно.
351;Так красиво бизгеде бару буйырсын;Осылай әдемі бізгеде бару бұйырсын.;Пусть на тоже повезет так красиво поехать.
352;"Контентті разбавить етейік😅
Ал сіздер няғыса лайк басып кетіңіздер";"Контентті сұйылтып жіберейік. Ал сіздер, шама келгенше, қолдау көрсетіп кетіңіздер.
Ал сіздер неғылса да ұнату басып кетіңіздер.";"«Давайте разбавим контент. А вы, пожалуйста, окажите свою поддержку настолько, насколько сможете».И нажмите пожалуйста ""Мне нравится."""
353;Осы роликтің өзі чипсы жеуге желания ашат;Осы роликтің өзі чипсы жеуге тәбетіңді ашады.;Одно только это видео разожжет ваш аппетит к чипсам.
354;Как раз ертен магнумга барамын😂😂обязательно чипсы алайын;Дәл ертең магнумға барамын. Міндетті түрде чипсы алайын.;Прмо завтра пойду в Магнум, обязательно куплю чипсов.
355;Ондай кезде ваще сойлемей, уйди жинап тазалап кетемиз;Ондай кезде тіпті сөйлемей, үйді жинап тазалап кетеміз.;В таких случаях мы вообще ничего не говорим, а идем убирать дом.
356;Страница рекламага толып кетипти. Неинтересно как то. Раньше было интереснее;Парақша жарнамаға толып кетіпті. Қызық емес біртүрлі. Бұрын қызығырақ еді.;Страница заполнена рекламой. Это как-то не интересно. Раньше было интереснее.
357;Осынын рекламасы битпеиди екен Вайн тусирмеисин бе не мынау;Осынын жарнамасы бітпейді екен. Вайн тусірмейсің бе не мынау.;Его реклама не заканчивается никак, почему не снимаешь вайны, что это такое?
358;Озим ай озим деп зачем состороны как звезданутая выглядишь;Неге өзім-ай өзім деп, сыртқы көзге жұлдыз ауруға шалдыққанға ұқсайсың.;"Почему ты все время говоришь ""Я, я"". Со стороны выглдишь как звезданутая"
359;Бала кездегі барби ойынының обложкасы секілді;Бала кездегі барби ойынының мұқабасы секілді.;Как обложка игры в Барби в детстве.
360;Озиме уксап деп озиндипрям Бир кушти адемиии деп ойлап отсынба;Өзіме ұқсап деп өзіңді кәдімгідей күшті әдемі деп ойлап отырсың ба.;Ты что, если ты думаешь,  ты она похожа на тебя, считаешь, что ты такая прямо красивая.
361;Кирип шыга беретин спокойный жер екен;Кіріп шыға беретін тыныш жер екен.;Это такое тихое место, где можно спокойно зати и выйти.
362;тагы 5, толкжоқ қой, раздули;Тагы 5, пайда жоқ қой, өтірік күшейтіп.;Опять 5, толка нет, раздули.
363;Овуляция есептеу ♀️ двойняшки жоспарлау егиздер жоспарлау бала жынысын аныктау ул немесе кыз екенин аныктау;Овуляция есептеу екіемдерді жоспарлау, егіздер жоспарлау бала жынысын анықтау ұл немесе қыз екенін аныктау.;Расчет овуляции, планирование двойни, планирование близнецов, определение пола ребенка, определение мальчик или девочка
364;Очередной спектакль 👏 сол баягы жартас сол жартас! Озгерген тук жок!;Кезекті қойылым сол баяғы жартас сол жартас! Өзгерген түк жок!;Очередной спектакль! Как было, так и осталось. Ничего не изменилось.
365;Жауапка тартылатыны сол жумстан шыгп кетед болды. Татесынын коршысынын братишкасынын мысыгынын подружкасынын досы гой ойткени;Жауапқа тартылатыны сол жұмыстан шығып кетеді дегені, болды сонымен. Себебі тәтесінің көршісінің інісінің мысығының құрбысының досы ғой өйткені.;Привлечение к ответственности - это просто увольнение с работы. Потому что он друг подруги кошки братишки соседа его тети.
366;тугел мониторың жургызу керек. Вагондары өткен ғасырдан қалған . Пассажирлар ушын мулдем жағдай жаратылмаған . Кондёр атымен жоқ , ышы лас , туалеттеры кіру мумкын емес , терезелеры ашылмайды. Ещё поезддарды тугел составымен бірге жекеменшыкке берып жыберген . ;Түгел мониторинг жүргізу керек. Вагондары өткен ғасырдан қалған. Жолаушылар үшін мүлдем жағдай жаратылмаған. Ауа салқындатқышы атымен жоқ, іші лас , әжетханаларына кіру мүмкін емес , терезелері ашылмайды. Және поезддарды тугел құрамымен бірге жекеменшікке беріп жіберген. ;Необходимо проводить тщательный мониторинг. Вагоны прошлого века. Для пассажиров не было абсолютно никаких условий. Кондиционера нет, салон грязный, в туалет невозможно зайти, окна не открываются. А поезда полность с  составом отдали частной компании.
367;Жақсылап көк қағазбен очот тапсырыңдар десей;Жақсылап көк қағазбен есеп тапсырыңдар деңіз.;Скажут, чтобы представили подробный  отчет на  бумаге.
368;Неге жолды жөндемейді . Объезной жолдар шаршатты.;Неге жолды жөндемейді. Айналма жолдар шаршатты.;Почему не ремонтируют дороги. Устали уже от оъездных путей.
369;Енді әскнріміз қытайдың барохлосы мен толатын болды сапасы жоқ мусорды алад енді;Енді әскеріміз қытайдың қоқысымен толатын болды, сапасы жоқ қоқысты алады енді.;Теперь нашу армию наполнят китайским мусором, возьмут некачественные вещи.
370;Көлік министрлігі- это супер решение ;Көлік министрлігі - бұл керемет шешім.;Министр транспорта - это супер решение.
371;Оні күраді ,ақша бөлінеді мамандар білімді жоқ не стерын білми біраздан киен қалталаріна кетет ,а миндар шетінен тупой;Оны құрады, ақша бөлінеді, мамандар білімді жоқ, не істерін білмей біраздан кейін қалталарына кетеді, а министрлер шетінен топас.;Ладно его построили, деньги выделили,но  нет квалифицированных специалистов, не знают, что делать и потом деньги уходяь к ним в карман, а министры все тупые.
372;Медициналық метод овулация есептеу ;Медициналық әдіс овулация есептеу.;Медицинский метод расчета овуляции.
373;Сол берілген тамақты тексеретін адам қою керек өз баласы сол мектепте оқитын а то тек аты тамақ, балдар жемейді тек манный каша бере береді біздің мектепте;Сол берілген тамақты тексеретін адам қою керек, өз баласы сол мектепте оқитын, әйтпесе тек аты тамақ, балалар жемейді тек манна ботқасын бере береді біздің мектепте.;Необходимо назначить человека для проверки выдаваемого питания, чтобы его ребено в этой школе учился, иначе это тоько название - еда, дети его не едят, в нашей школе дают только манную кашу.
374;Бүгін 1сынып кітаптарын берді новый күшті ана тілі әліппе оқиды балалар қуаныштымыз.;Бүгін 1-сынып кітаптарын берді, су жаңа, күшті ана тілі, әліппе оқиды балалар, қуаныштымыз.;Сегодня учебники для 1 класса подарили, новые, родной язык, дети будут учить азбуку, мы рады.
375;649млрд қалтаға кеттіғо примерн;649 млрд қалтаға кетті ғой шашамен.;Около 649 млрд ушло в карман.
376;олдаудың тақырыбы айтып тұр ғой уақыт жоғалтып көруге не стойт 😂. Бірақ мұғалімдер мен гостатыларды желкелеп отырғызып көргізед;Жолдаудың тақырыбы айтып тұр ғой, уақыт жоғалтып көруге қажеті жоқ. Бірақ мұғалімдер мен мемлекетті мекемелердегілерді желкелеп отырғызып көргізеді.;Название послания говорит само за себя, не нужно тратить на это время. Но учителей и государственных служащих насильно загоняют.
377;Өз өзің ұстай алмайтын адамдарды психический больной деп 100 пайыз айта аламын. Айел кісі қанша жерден кінәлі болсада бұлай келіп ұруға болмайды деп ойлаймын.;Өз өзің ұстай алмайтын адамдарды психикалық ауруға шалдыққан деп 100 пайыз айта аламын. Әйел кісі қанша жерден кінәлі болса да, бұлай келіп ұруға болмайды деп ойлаймын.;Могу на 100 процентов сказать, что люди, которые не умеют себя контролировать, психически больны. Я не думаю, что нужно приходить и так избивать женщину, в какой бы степени она не была виновата.
